,repository_name,language
0,app-store-server-library-java,Java
1,app-store-server-library-node,TypeScript
2,app-store-server-library-python,Python
3,app-store-server-library-swift,Swift
4,apple-llvm-infrastructure-tools,C++
5,apple_rules_lint,Starlark
6,ARKitScenes,Python
7,AudioUnit-Examples,Swift
8,AudioUnitSDK,C++
9,axlearn,Python
10,batch-processing-gateway,Java
11,ccs-caldavclientlibrary,HTML
12,ccs-caldavtester,Python
13,ccs-calendarserver,Python
14,ccs-pycalendar,Python
15,ccs-pykerberos,C
16,ccs-pyopendirectory,C++
17,ccs-pyosxframeworks,Python
18,ccs-pysecuretransport,Python
19,ccs-twistedextensions,Python
20,coremltools,Python
21,corenet,Jupyter Notebook
22,cups,C
23,darwin-libplatform,C
24,darwin-libpthread,C
25,darwin-xnu,C
26,device-management,
27,dmel-demo,HTML
28,dnikit,Python
29,eidas,Go
30,example-package-dealer,Swift
31,example-package-deckofplayingcards,Swift
32,example-package-figlet,Swift
33,example-package-fisheryates,Swift
34,example-package-playingcard,Swift
35,FHIRModels,Swift
36,foundationdb,C++
37,fstools,C
38,game-center-tools,Python
39,GCGC,Jupyter Notebook
40,homebrew-apple,Ruby
41,HomeKitADK,C
42,learning-compressible-subspaces,Python
43,learning-subspaces,Python
44,live-caller-id-lookup-example,Swift
45,llvm-monorepo-root,
46,llvm-project-v5,C++
47,llvm-project-v5-split,C++
48,ml-4m,Python
49,ml-acn-embed,Python
50,ml-act,Python
51,ml-ademamix,Python
52,ml-afv,Python
53,ml-agm,Python
54,ml-aim,Python
55,ml-all-pairs,Python
56,ml-ane-transformers,Python
57,ml-aspanformer,Python
58,ml-aura,Python
59,ml-autofocusformer,Python
60,ml-autofocusformer-segmentation,Python
61,ml-batchquant,Python
62,ml-behavioral-testing-for-mt,
63,ml-bilevel-train-dist,Python
64,ml-bloop,Python
65,ml-calibration,Jupyter Notebook
66,ml-capsules-inverted-attention-routing,Python
67,ml-cifar-10-faster,Python
68,ml-code-switched-speech-translation,Python
69,ml-codeswitching-translations,
70,ml-collegial-ensembles,Python
71,ml-comotion,Python
72,ml-compress-and-compare,Python
73,ml-core,Python
74,ml-covid-mobility,R
75,ml-cread,Python
76,ml-cross-entropy,Python
77,ml-cubifyanything,Python
78,ml-cvnets,Python
79,ml-cvpr2019-swd,Python
80,ml-dab,Python
81,ml-data-parameters,Python
82,ml-dataset-decomposition,Python
83,ml-delphi,
84,ml-depth-pro,Python
85,ml-destseg,Python
86,ml-diffusion-alignment-gflownet,Python
87,ml-direct2.5,Python
88,ml-divide-or-conquer,Python
89,ml-dms-dataset,Python
90,ml-dprecs,Jupyter Notebook
91,ml-dr,Python
92,ml-duet,Python
93,ml-entity-deduction-arena,Python
94,ml-entropy-reconstruction,Python
95,ml-envmapnet,Python
96,ml-equivariant-neural-rendering,Jupyter Notebook
97,ml-facelit,Python
98,ml-famae,Python
99,ml-fastvit,Python
100,ml-fct,Python
101,ml-ferret,Python
102,ml-finerecon,Python
103,ml-flair,Jupyter Notebook
104,ml-flextok,Jupyter Notebook
105,ml-gaudi,
106,ml-gbc,Python
107,ml-gendered-translation,Ruby
108,ml-gmpi,Python
109,ml-gsm-symbolic,
110,ml-gsn,Python
111,ml-hd-gist,Python
112,ml-heart-rate-models,Python
113,ml-hierarchical-confusion-matrix,TypeScript
114,ml-hugs,Python
115,ml-hypercloning,Python
116,ml-hypersim,Python
117,ml-interactive-data-augmentation,Svelte
118,ml-internal-llms-instruction-following,Python
119,ml-interspeech2022-phi_rtn,
120,ml-jointnet,Python
121,ml-key-retrieval-code-tasks,Python
122,ml-keyframer,JavaScript
123,ml-kg-mt,Python
124,ml-kge,Python
125,ml-knowledge-conflicts,Python
126,ml-kpconvx,Python
127,ml-live-pose,
128,ml-llarp,Python
129,ml-lucid-datagen,Python
130,ml-mad-bench,Jupyter Notebook
131,ml-matrix3d,Python
132,ml-mcf,Python
133,ml-mdm,Python
134,ml-mgie,Python
135,ml-mia-bench,Jupyter Notebook
136,ml-MixupMP,Python
137,ml-mkqa,Python
138,ml-mobileclip,Python
139,ml-mobileone,Swift
140,ml-mofi,Python
141,ml-multiple-futures-prediction,Python
142,ml-mycelium,JavaScript
143,ml-ncg,Python
144,ml-negative-sampling,Python
145,ml-neilf,Python
146,ml-neilfpp,Python
147,ml-neuman,Python
148,ml-no-token-left-behind,Jupyter Notebook
149,ml-np-rasp,Python
150,ml-nvas3d,Python
151,ml-ogen,Python
152,ml-pgdvs,Python
153,ml-planner,Python
154,ml-pointconvformer,Python
155,ml-pointersect,Python
156,ml-probabilistic-attention,Python
157,ml-projunit,Python
158,ml-qrecc,Python
159,ml-quant,Python
160,ml-recurrent-drafter,Python
161,ml-reed,Python
162,ml-reversal-blessing,Python
163,ml-rlgrad,Python
164,ml-robust-expert-augmentations,Python
165,ml-rpm-bench,Python
166,ml-sad,Python
167,ml-sage-dialog-gen,Python
168,ml-sampleplan,Python
169,ml-selfcond,Python
170,ml-shuffling-amplification,Python
171,ml-sigma-reparam,Python
172,ml-sigmoid-attention,Python
173,ml-slowfast-llava,Python
174,ml-space-benchmark,Python
175,ml-spatial-librispeech,
176,ml-speech-is-more-than-words,
177,ml-spin,Python
178,ml-stable-diffusion,Python
179,ml-stabledreamer,
180,ml-stuttering-events-dataset,Python
181,ml-superposition-prompting,Python
182,ml-symphony,Svelte
183,ml-tarflow,Python
184,ml-tic-clip,Python
185,ml-tic-lm,Python
186,ml-toad,Python
187,ml-tract,Python
188,ml-transcript-translation-consistency-ratings,
189,ml-translate-vis,TypeScript
190,ml-tree-dst,Python
191,ml-tune-mode-convbn,Python
192,ml-tweak,Python
193,ml-uncertainty-llms-instruction-following,Python
194,ml-upscale,Jupyter Notebook
195,ml-uwac,Python
196,ml-veclip,Jupyter Notebook
197,ml-vfi-smiff,Python
198,ml-vfm-kt,
199,ml-vision-transformers-ane,Python
200,ml-vivid,Python
201,music-feed-examples,Java
202,openjdk,Java
203,parameterized-transforms,Python
204,password-manager-resources,JavaScript
205,pfl-research,Jupyter Notebook
206,pkl,Java
207,pkl-evolution,
208,pkl-go,Go
209,pkl-go-examples,Go
210,pkl-intellij,Kotlin
211,pkl-jvm-examples,Groovy
212,pkl-k8s,Pkl
213,pkl-k8s-examples,Pkl
214,pkl-lang.org,JavaScript
215,pkl-lsp,Kotlin
216,pkl-neovim,Lua
217,pkl-package-docs,Kotlin
218,pkl-pantry,Pkl
219,pkl-project-commons,Pkl
220,pkl-spring,Java
221,pkl-swift,Swift
222,pkl-swift-examples,Swift
223,pkl-vscode,TypeScript
224,pkl.tmbundle,Pkl
225,pytorch-speech-features,Python
226,rules_pkl,Starlark
227,sample-backyard-birds,Swift
228,sample-cloudkit-coredatasync,Swift
229,sample-cloudkit-encryption,Swift
230,sample-cloudkit-privatedb,Swift
231,sample-cloudkit-privatedb-sync,Swift
232,sample-cloudkit-queries,Swift
233,sample-cloudkit-sharing,Swift
234,sample-cloudkit-sync-engine,Swift
235,sample-cloudkit-tooling,JavaScript
236,sample-cloudkit-zonesharing,Swift
237,sample-fbounds-safety-adoption,HTML
238,sample-food-truck,Swift
239,security-pcc,Swift
240,servicetalk,Java
241,swift-3-api-guidelines-review,Swift
242,swift-algorithms,Swift
243,swift-argument-parser,Swift
244,swift-asn1,Swift
245,swift-async-algorithms,Swift
246,swift-async-dns-resolver,Swift
247,swift-atomics,Swift
248,swift-cassandra-client,Swift
249,swift-certificates,Swift
250,swift-clang,C++
251,swift-clang-tools-extra,C++
252,swift-cluster-membership,Swift
253,swift-cmake-examples,CMake
254,swift-collections,Swift
255,swift-collections-benchmark,Swift
256,swift-compiler-rt,C
257,swift-container-plugin,Swift
258,swift-crypto,Assembly
259,swift-distributed-actors,Swift
260,swift-distributed-tracing,Swift
261,swift-distributed-tracing-baggage-core,Swift
262,swift-distributed-tracing-extras,Swift
263,swift-embedded-examples,Swift
264,swift-evolution-staging,Swift
265,swift-for-wasm-examples,Swift
266,swift-getting-started-cli,Swift
267,swift-getting-started-package-library,Swift
268,swift-homomorphic-encryption,Swift
269,swift-homomorphic-encryption-protobuf,
270,swift-http-structured-headers,Swift
271,swift-http-types,Swift
272,swift-internals,HTML
273,swift-issues,
274,swift-libcxx,C++
275,swift-llbuild2,Swift
276,swift-lldb,C++
277,swift-llvm,LLVM
278,swift-log,Swift
279,swift-matter-examples,Swift
280,swift-metrics,Swift
281,swift-metrics-extras,Swift
282,swift-migration-guide,Markdown
283,swift-mmio,Swift
284,swift-nio,Swift
285,swift-nio-examples,Swift
286,swift-nio-extras,Swift
287,swift-nio-http2,Swift
288,swift-nio-imap,Swift
289,swift-nio-nghttp2-support,Swift
290,swift-nio-oblivious-http,Swift
291,swift-nio-ssh,Swift
292,swift-nio-ssl,Assembly
293,swift-nio-ssl-support,Swift
294,swift-nio-transport-services,Swift
295,swift-nio-zlib-support,Swift
296,swift-numerics,Swift
297,swift-openapi-generator,Swift
298,swift-openapi-runtime,Swift
299,swift-openapi-urlsession,Swift
300,swift-play-experimental,Swift
301,swift-playdate-examples,Swift
302,swift-protobuf,Swift
303,swift-protobuf-plugin,
304,swift-protobuf-test-conformance,
305,swift-sample-distributed-actors-transport,Swift
306,swift-service-context,Swift
307,swift-service-discovery,Swift
308,swift-standard-library-preview,Swift
309,swift-statsd-client,Swift
310,swift-string-processing-benchmarks,Swift
311,swift-system,Swift
312,swift-tools-support-async,Swift
313,swift-xcode-playground-support,Swift
314,swiftpm-on-llbuild2,Swift
315,tensor-visualizer,Svelte
316,tensorflow_macos,Shell
317,ToolSandbox,Python
318,tree-sitter-pkl,Kotlin
319,turicreate,C++
320,unityplugins,C#
321,VideoFlashingReduction,Mathematica
322,visatronic-demo,HTML
323,vqg-multimodal-assistant,Python
